"","hsa.mir.142","hsa.mir.326","hsa.mir.1271","hsa.mir.431","hsa.mir.375","hsa.mir.627","hsa.mir.4772","hsa.mir.99a","hsa.mir.301a","hsa.mir.345","hsa.mir.3605","hsa.mir.940","hsa.mir.7.3","hsa.mir.323a","hsa.mir.1180","hsa.mir.3130.2","hsa.mir.1266","hsa.mir.6761","hsa.mir.4661","hsa.mir.150","hsa.mir.4668","hsa.mir.155","hsa.mir.628","hsa.mir.125b.2","hsa.mir.125b.1","hsa.mir.338","hsa.mir.135b","hsa.mir.362","hsa.mir.1248","hsa.mir.196b","hsa.mir.145","hsa.mir.323b","hsa.mir.3200","hsa.mir.188","hsa.mir.147b","hsa.mir.19a","hsa.mir.3607","hsa.mir.642a","hsa.mir.139","hsa.mir.301b","hsa.mir.210","hsa.mir.616","hsa.mir.451a","hsa.mir.144","hsa.mir.503","hsa.mir.217","hsa.mir.485","hsa.mir.33a","hsa.mir.3065","hsa.mir.215","hsa.mir.106a","hsa.mir.223","hsa.mir.1.1","hsa.mir.1.2","hsa.mir.937","hsa.mir.592","hsa.mir.153.2","hsa.mir.133a.2","hsa.mir.133a.1","hsa.mir.577","hsa.mir.33b","hsa.mir.1247","hsa.mir.149","hsa.mir.3653","hsa.mir.4662a","hsa.mir.296","hsa.mir.31","hsa.mir.9.1","hsa.mir.9.3","hsa.mir.9.2","hsa.mir.653","hsa.mir.20b","hsa.mir.486.2","hsa.mir.675","hsa.mir.486.1"
"TCGA-AA-3869",97.264658,6.484311,2.593724,10.374897,94.670934,6.484311,94.670934,81.702313,3.890586,3.890586,3.890586,5.187448,542.088363,14.265483,9122.128099,77.811727,2566.490121,5.187448,14.265483,409.808428,102.452107,462.979774,23.343518,6453.185871,335.887287,16.859207,5088.886929,3086.531828,16.859207,444.823705,5.187448,38.905863,7.781173,9.078035,22.046656,1.296862,1.296862,2.593724,7.781173,7.781173,529.119742,138.764246,16.859207,57.061933,3.890586,158.217178,44.093312,6.484311,3246.045867,7.781173,628.978125,1.296862,9.078035,5.187448,15.562345,0,14.265483,18.15607,32.421553,150.436005,112.827004,6.484311,6.484311,71.327416,2.593724,6.484311,16.859207,5.187448,5.187448,60.952519,49.28076,60.952519,2.593724,1.296862,76.514865
"TCGA-AA-3860",208.799617,7.150672,11.441075,5.720537,267.435126,5.720537,101.53954,70.076584,5.720537,5.720537,5.720537,0,145.873705,21.452015,5361.57372,411.878696,2682.932061,28.602687,21.452015,855.220348,74.366987,387.566412,12.871209,8347.694266,48.624568,14.301344,1128.376011,1588.879275,4.290403,181.627064,35.753359,37.183493,2.860269,4.290403,20.021881,12.871209,2.860269,12.871209,51.484837,4.290403,121.561421,98.679271,17.161612,42.904031,2.860269,356.103456,32.89309,168.755855,4520.654716,14.301344,1640.364112,0,5.720537,4.290403,5.720537,4.290403,85.808062,71.506718,7.150672,35.753359,72.936852,10.010941,5.720537,38.613628,0,1.430134,5.720537,5.720537,1.430134,21.452015,22.88215,20.021881,4.290403,0,62.925912
"TCGA-AA-3861",117.960379,19.180549,3.83611,10.549302,693.37686,1.918055,52.746511,38.361099,2.877082,0,4.795137,4.795137,110.288159,15.34444,10005.533588,130.427736,1638.018918,13.426385,5.754165,1077.946876,70.968033,701.04908,24.934714,3600.18912,46.033319,14.385412,809.419184,1055.889244,9.590275,125.632598,4.795137,13.426385,2.877082,20.139577,6.713192,6.713192,1.918055,2.877082,12.467357,5.754165,133.304818,120.837461,13.426385,51.787483,0,469.92346,69.049978,63.295813,28617.379688,2.877082,796.951827,0.959027,12.467357,4.795137,14.385412,0.959027,17.262494,23.016659,4.795137,132.345791,50.828456,5.754165,5.754165,76.722198,8.631247,75.76317,4.795137,6.713192,3.83611,69.049978,66.172895,76.722198,0.959027,1.918055,101.656912
"TCGA-AA-3862",65.385342,16.346336,1.318253,12.127926,1350.681893,8.173168,91.486749,95.177857,7.382216,1.845554,7.118566,7.118566,117.324506,21.355697,12951.834468,128.66148,4928.947488,43.765995,33.747274,657.017231,81.731678,1042.738022,19.510143,8072.716938,79.095172,10.282372,344.591301,591.368238,46.138851,872.419751,2.109205,27.68331,2.372855,7.382216,8.700469,1.318253,1.845554,9.22777,10.546023,3.954759,699.464974,235.967264,25.310455,47.193453,2.109205,255.477407,183.237149,11.600625,24066.815383,11.073324,2076.511924,2.636506,10.809674,13.182529,16.609986,2.372855,31.90172,40.074887,8.173168,263.650574,103.878326,5.536662,17.664588,41.656791,3.427457,9.755071,8.173168,2.372855,3.163807,95.441508,92.277701,85.950087,1.318253,2.109205,78.831522
"TCGA-AA-3864",78.716173,10.267327,9.126513,9.126513,322.850392,23.957096,100.391641,108.37734,45.632564,3.422442,4.563256,5.704071,66.167218,19.39384,5180.436863,78.716173,2706.011064,17.112212,21.675468,193.938398,58.181519,347.948303,1.140814,5155.338953,152.86909,131.193622,2526.903249,2181.236574,31.942795,374.187027,0,23.957096,6.844885,14.830583,15.971398,4.563256,1.140814,2.281628,5.704071,2.281628,484.845996,104.954898,7.985699,39.928494,4.563256,87.842686,19.39384,12.548955,65260.271035,15.971398,689.051721,9.126513,20.534654,7.985699,5.704071,3.422442,18.253026,18.253026,14.830583,622.884503,6.844885,14.830583,9.126513,53.618263,9.126513,3.422442,31.942795,1.140814,1.140814,175.685373,204.205725,195.079212,2.281628,5.704071,100.391641
"TCGA-AA-3866",153.242698,37.108097,2.748748,44.667154,122.319284,5.497496,109.949918,116.134601,2.061561,8.246244,28.174666,20.61561,50.851837,47.415902,9252.972771,24.051545,3757.538441,2.748748,8.933431,716.736027,13.056553,486.528386,10.307805,8209.135739,23.364358,21.302797,1113.242918,546.313654,8.246244,444.60998,2.061561,17.866862,2.748748,0.687187,3.435935,4.810309,1.374374,7.559057,23.364358,7.559057,99.642113,173.858308,18.554049,20.61561,4.123122,476.907769,6.87187,6.87187,3787.087482,8.933431,120.257723,6.184683,6.87187,1.374374,9.620618,2.748748,6.184683,6.184683,3.435935,28.174666,61.846829,8.246244,2.061561,72.841821,0.687187,14.430927,14.430927,1.374374,5.497496,49.477463,37.108097,33.672162,3.435935,8.246244,221.961397
"TCGA-AA-3867",197.80765,54.76031,2.607634,62.583211,339.737434,2.607634,125.911461,123.676346,4.842749,4.470229,36.879392,27.566415,44.702294,31.291606,2788.678101,26.076338,6739.988363,3.352672,37.624431,138.577111,32.409163,153.477876,6.332825,5585.179103,188.122153,30.919087,1088.128337,622.479443,21.23359,116.225964,23.468704,42.839698,4.470229,4.09771,2.235115,1.862596,13.410688,1.862596,6.705344,6.332825,393.380186,120.696194,11.548093,26.821376,7.450382,91.267183,48.054966,6.705344,29578.017796,7.822901,166.143526,1.490076,7.450382,5.587787,5.587787,2.980153,4.09771,4.842749,16.390841,191.847345,151.242761,6.332825,3.352672,36.879392,7.077863,5.587787,4.470229,3.352672,0.372519,101.697719,97.972527,103.932833,17.508398,3.352672,99.090085
"TCGA-AA-3947",115.799392,4.099094,9.735347,4.099094,55.337763,3.07432,33.817522,37.916615,14.859214,2.049547,3.586707,1.024773,247.995159,7.173414,4759.559983,46.627189,1673.454936,5.123867,3.07432,80.957097,99.403018,331.001803,4.61148,2784.309285,223.400598,3.07432,2469.191469,1079.59876,6.14864,796.24892,6.14864,31.255588,6.14864,3.07432,55.337763,5.123867,1.53716,1.53716,5.636254,3.07432,232.111172,71.22175,20.495468,25.619335,2.561933,194.194556,17.421148,4.61148,35483.290814,5.123867,231.598785,5.636254,4.099094,4.61148,4.099094,0.512387,6.661027,7.173414,9.22296,323.828389,6.14864,18.445921,5.123867,55.850149,4.61148,16.908761,451.412676,0,4.61148,24.594561,38.429002,32.280362,3.07432,1.024773,36.379455
"TCGA-G4-6299",22.376206,1.408293,23.628022,1.56477,394.634906,7.980325,211.713334,225.013876,10.483957,2.660108,0.938862,0.782385,195.439729,8.919187,3962.153229,38.962764,1879.444826,1.721247,12.518157,862.501031,104.839567,957.169595,5.633171,1147.13263,29.574146,0.469431,892.231654,302.157019,22.68916,296.993279,1.877724,16.117127,4.537832,102.492412,89.348347,4.224878,3.755447,4.381355,3.59897,9.232141,479.288944,58.209431,6.415556,22.532683,0.938862,133.631328,16.273604,8.606233,10868.264077,9.858049,149.591978,2.190678,12.987588,3.442493,14.395881,3.129539,14.395881,13.613496,5.16374,17.994851,2.503631,2.190678,3.129539,12.205203,2.816585,6.415556,16.430081,2.660108,2.347154,35.676748,37.867426,37.867426,37.867426,5.946125,207.801409
"TCGA-G4-6298",11.552042,14.492562,8.821559,12.812265,68.892178,2.94052,81.284369,85.905185,13.022302,1.050186,10.081782,10.921931,287.120754,23.524158,378.066831,35.916349,2256.848943,1.050186,19.953527,187.773193,12.182153,266.95719,4.830854,3606.337492,9.661708,0.630111,61.750916,248.053848,45.36802,462.081682,2.520446,16.172859,3.990705,18.693304,19.74349,0.420074,1.680297,2.100371,2.100371,3.780668,155.847549,28.355012,2.730483,7.981411,0.840149,8.401485,12.392191,1.680297,20102.653546,12.182153,295.942314,1.260223,7.561337,1.680297,3.360594,1.47026,25.834567,27.724901,2.94052,5.460965,69.312252,0.630111,1.680297,3.360594,0.840149,2.520446,0.630111,0,3.360594,94.726745,103.338267,109.00927,1.47026,1.890334,72.882884
